state,origin,ages_ranges,genders,behavior,expat_population_wave5,facebook_population_wave5,dest_state_fips,dest_state_name,dest_state_letter,dest_state_FB_code,origin_ACS_bpl,origin_ACS_name,origin_FB_code,sex,age_group,nof_foreign_born,nof_residents,frac_foreign_born
Alabama,Israel,ages_20_24,2,6025000823583,20,190000,1,Alabama,AL,3843,534,Israel,6025000823583,2,ages_20_24,0,146643,0.0
Alabama,Italy,ages_20_24,2,6019396654583,60,190000,1,Alabama,AL,3843,434,Italy,6019396654583,2,ages_20_24,0,146643,0.0
Alabama,Japan,ages_20_24,2,6023676028783,110,190000,1,Alabama,AL,3843,501,Japan,6023676028783,2,ages_20_24,0,146643,0.0
Alabama,KSA,ages_20_24,2,6025000813183,130,190000,1,Alabama,AL,3843,533,Saudi Arabia,6025000813183,2,ages_20_24,0,146643,0.0
Alabama,Malaysia,ages_20_24,2,6027147160983,20,190000,1,Alabama,AL,3843,514,Malaysia,6027147160983,2,ages_20_24,0,146643,0.0
Alabama,Mexico,ages_20_24,2,6023676072183,4900,190000,1,Alabama,AL,3843,200,Mexico,6023676072183,2,ages_20_24,1066,146643,0.00726935482771084
Alabama,Nepal,ages_20_24,2,6023356955383,100,190000,1,Alabama,AL,3843,524,Nepal,6023356955383,2,ages_20_24,0,146643,0.0
Alabama,Philippines,ages_20_24,2,6018797091183,210,190000,1,Alabama,AL,3843,515,Philippines,6018797091183,2,ages_20_24,0,146643,0.0
Alabama,Poland,ages_20_24,2,6019396657183,20,190000,1,Alabama,AL,3843,455,Poland,6019396657183,2,ages_20_24,0,146643,0.0
Alabama,Portugal,ages_20_24,2,6021354882783,20,190000,1,Alabama,AL,3843,436,Portugal,6021354882783,2,ages_20_24,0,146643,0.0
Alabama,Puerto Rico,ages_20_24,2,6019520122583,390,190000,1,Alabama,AL,3843,110,Puerto Rico,6019520122583,2,ages_20_24,30,146643,0.000204578466070661
Alabama,Romania,ages_20_24,2,6027148962983,20,190000,1,Alabama,AL,3843,456,Romania,6027148962983,2,ages_20_24,83,146643,0.000566000422795497
Alabama,Russia,ages_20_24,2,6025000815983,80,190000,1,Alabama,AL,3843,465,Russia,6025000815983,2,ages_20_24,0,146643,0.0
Alabama,Singapore,ages_20_24,2,6023516403783,20,190000,1,Alabama,AL,3843,516,Singapore,6023516403783,2,ages_20_24,0,146643,0.0
Alabama,South Korea,ages_20_24,2,6027148973583,260,190000,1,Alabama,AL,3843,502,South Korea,6027148973583,2,ages_20_24,733,146643,0.00499853385432649
Alabama,Spain,ages_20_24,2,6019366943583,80,190000,1,Alabama,AL,3843,438,Spain,6019366943583,2,ages_20_24,0,146643,0.0
Alabama,UAE,ages_20_24,2,6023516430783,30,190000,1,Alabama,AL,3843,543,UAE,6023516430783,2,ages_20_24,0,146643,0.0
